Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);sg1 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s CSRN;D50 (mm) ;FC %;N (mean);SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;V*s,40ft (fps)
Yes;B;20;8;14;4,3;2;8;0,4;3;1460;222,063617;1085,6;101,4859379;0,9664309;0,874484168;0,07;0,2;0,06;8,1;0,07;0,15;72,5;1,5;1,46;2,2;0,8;470
Yes;B;16,4;6,4;11,4;3,5;1,7;6,4;0,4;3;1214,784777;193,3627326;904,5535958;92,52967449;0,968288076;0,969044415;0,06;0,2;0,06;8,1;0,08;0,4;9,67;5,75;1,55;8,9;2,7;600
Yes;B;11,5;1,6;6,5;2;1,6;1,6;0,3;3;703,1574803;181,8741666;397,3319685;81,45434084;0,97196809;0,922049089;0,04;0,2;0,06;8,1;0,1;0,2;19,33;1,95;1,86;3,6;1,6;400
Yes;B;13;3,9;8,5;2,6;1,5;3,9;0,3;3;912,6948819;175,3973425;631,0841732;83,00198254;0,973545537;0,974356274;0,04;0,4;0,12;7;0,1;0,4;0;3,7;1,77;6,5;2,3;600
Yes;B;40;12,3;26,2;8;4,6;12,3;0,3;3;3084,25;579,770158;2220,01;294,6407093;0,994023897;0,854495987;0,12;0,35;0,11;7;0,08;0,5;3,29;16,2;1,27;20,6;3,4;620
Yes;A;18;3,3;10,7;3,3;2,5;3,3;0,3;3;1177,001312;284,0439371;716,3713911;132,4440069;0,987460808;0,940558935;0,05;0,09;0,01;7,6;0,02;0,15;5;4,4;1,79;7,9;4,8;520
Yes;B;36,1;16,4;26,2;8;3,3;3;0,3;3;3089,606299;399,9762488;1639,011024;202,0360349;0,980929287;0,801694128;0,12;0,16;0,02;7,6;0,04;0,2;2;8,75;1,24;10,9;2,9;550
Yes;A;23;11,5;17,2;5,3;1,9;3;0,3;3;2006,929134;233,8400425;1119,325984;119,2301435;0,973516521;0,900104485;0,08;0,16;0,02;7,6;0,04;0,2;2;7,95;1,39;11,1;1,9;550
Yes;A;32,8;16,4;24,6;7,5;2,7;3;0,3;3;3030,787402;347,9923023;1682,554331;183,7857043;0,980515941;0,853750524;0,11;0,16;0,02;7,6;0,04;0,2;2;9,35;1,21;11,3;1,3;580
Yes;A;19,7;6,6;13,1;4;2,2;2;0,3;3;1423,884514;243,0013797;727,8215223;110,6398497;0,972876659;0,929639714;0,06;0,16;0,02;7,6;0,04;0,4;0;4;1,65;6,6;1,9;540
Yes;A;20;4,5;12,3;3,7;2,6;0;0,3;3;1470;312,1707265;705,6;154,4099767;0,984985935;0,89794856;0,06;0,16;0,02;7,6;0,04;0,4;10;4,1;1,66;6,8;0,3;480
Yes;B;20;6,6;13,3;4,1;2,2;2;0,3;3;1632,5;281,3174146;927,38;144,6835251;0,986452406;0,987868569;0,06;0,23;0,07;8,3;0,13;0,25;5;4,65;1,46;6,8;0,7;710
Yes;B;16,4;3;9,7;3;2,2;2,5;0,6;3;1139,207935;269,1162888;690,0716802;133,9986158;0,966495343;0,965612795;0,05;0,2;0,06;8,3;0,11;0,12;21,67;5,55;1,73;9,6;1,5;560
Yes;A;24,6;13,1;18,9;5,8;1,9;0;0,4;3;2263,779528;236,6328319;1086,614173;124,8005849;0,962205553;0,866418323;0,09;0,21;0,01;8,3;0,09;0,25;3;9;1,6;14,4;1,4;520
Yes;A;20,7;14,4;17,6;5,4;1;14;0,2;3;1966,299213;131,9959035;1744,623622;74,29999091;0,95097313;0,858961672;0,08;0,45;0,07;6,6;0,06;0,05;65,25;3,3;1,13;3,7;1;540
Yes;A;24;17;20,5;6,2;1,2;16,3;0,9;3;2296,942257;149,0993234;2035,222572;96,15951604;0,805121042;0,899995062;0,09;0,45;0,07;6,6;0,06;0,07;59,3;7,35;1,08;7,9;2,7;620
Yes;B;41;11,5;26,2;8;4,9;5;0,3;3;3099,737533;594,178926;1773,12336;291,2308694;0,992001931;0,856820798;0,12;0,13;0,04;7;0,04;0,06;67;8,1;0,91;7,4;1,1;610
Yes;B;29,5;16,4;23;7;2,2;5;0,2;3;2706,036745;268,3766904;1584,146982;138,2565854;0,975042323;0,885198242;0,1;0,2;0,06;7;0,05;0,08;48;12,4;1,13;14;1,1;610
Yes;B;34,4;14,8;24,6;7,5;3,3;5;0,2;3;2902,887139;398,3621796;1678,635171;198,7712704;0,985910458;0,814161161;0,11;0,2;0,06;7;0,05;0,1;20;10,3;1,11;11,4;3,6;560
Yes;C;50;10;30;9,1;6,7;5;0,3;1;2550;600,6088577;990;186,0120383;0,993215587;0,572250906;0,12;0,14;0,04;7,5;0,05;0,8;3;4,3;1,1;4,7;1,5;400
Yes;B;19,7;9,8;14,8;4,5;1,6;3,6;0,4;3;1735,564304;200,0079342;1039,501312;102,9778407;0,959066032;0,945732301;0,06;0,13;0,04;7,6;0,05;0,14;12;9,45;1,29;12,2;2,9;590
Yes;B;19,7;11,5;15,6;4,8;1,4;3,3;0,6;3;1837,31721;168,5278394;1069,308211;92,39153286;0,912583031;0,979107369;0,07;0,2;0,06;7,6;0,08;0,19;12;9,85;1,28;12,7;2,6;700
Yes;B;18;4,9;11,5;3,5;2,2;3,6;0,3;3;1381,233596;274,6722556;889,8950131;140,0879021;0,988758808;0,976776183;0,05;0,22;0,07;7,6;0,08;0,17;3;5,9;1,34;7,9;0,8;640
Yes;B;21,3;14,8;18;5,5;1,1;3;0,4;3;2211,286089;144,4011512;1269,553806;84,70317326;0,929849638;0,972617267;0,08;0,35;0,11;7,6;0,14;0,14;20;18,3;1,21;22,1;2,5;710
Yes;B;16,4;11,5;13,9;4,3;0,8;3,3;0,4;3;1693,733596;107,9782996;1028,379265;63,49544375;0,918484162;0,971276394;0,06;0,2;0,06;7,6;0,07;0,15;20;8,65;1,29;11,1;4,9;650
Yes;B;28;26;27;8,2;0,3;15;0,4;3;3150;71,36603612;2401,2;64,15527553;0,890395889;0,855870449;0,11;0,2;0,03;7,5;0,03;0,14;20;9;0,69;6,2;2;610
Yes;B;43;33,5;38,3;11,7;1,6;22;0,3;3;4370;206,9820342;3356;123,6815301;0,938028859;0,706455565;0,14;0,2;0,03;7,5;0,03;0,14;20;14,1;0,6;8,4;1,5;580
Yes;B;18;12;15;4,6;1;6;0,3;3;1740;124,3462907;1178,4;67,95497333;0,937028156;0,959593143;0,06;0,2;0,03;7,5;0,04;0,1;50;6;0,88;5,3;0,2;630
Yes;B;16,4;9,8;13,1;4;1,1;1,6;0,3;3;1558,39895;135,8020493;841,8635171;73,66183719;0,942723105;0,981890844;0,06;0,12;0,04;6,5;0,04;0,7;5;5,6;1,41;7,9;0,6;700
Yes;B;26,2;6,6;16,4;5;3,3;3;0,3;3;1938,503937;395,8628084;1102,08189;194,054742;0,990002308;0,944793707;0,07;0,2;0,06;7,7;0,08;0,45;0;8,9;1,39;12,4;3,3;610
Yes;B;13,1;8,2;10,7;3,3;0,8;8;0,3;3;1199,527559;101,6677458;1033,373228;55,84741737;0,923348065;0,979489915;0,05;0,24;0,07;7,7;0,07;0,15;20;9,1;1,34;12,2;2;640
Yes;B;19,7;4,6;12,1;3,7;2,5;4,6;2;3;1410,761155;303,6394724;939,8950131;179,9163481;0,776052971;0,925988696;0,05;0,2;0,06;7,7;0,07;0,15;10;4;1,43;5,7;0,5;520
Yes;B;13,1;9,8;11,5;3,5;0,5;9,8;0,3;3;1181,102362;72,37167753;1078,740157;45,27577637;0,880904732;0,888534806;0,05;0,28;0,08;7,7;0,07;0,53;5;11,1;1,22;13,5;2;460
Yes;B;20;8;14;4,3;2;8;0,3;3;1630;251,8337745;1255,6;129,527018;0,985184594;0,970979184;0,06;0,24;0,07;7,7;0,07;0,35;3;9,6;1,27;12,2;5;650
Yes;B;16,4;9,8;13,1;4;1,1;1,6;0,3;3;1558,39895;135,8020493;841,8635171;73,66183719;0,942723105;0,983861771;0,06;0,32;0,1;7,7;0,14;0,7;5;5,6;1,41;7,9;0,6;700
Yes;B;13,1;9;11,1;3,4;0,7;4,3;0,3;3;1284,750656;85,96103324;860,6435696;48,92333746;0,902794688;0,97243552;0,05;0,32;0,1;7,7;0,11;0,28;4;7,1;1,35;9,6;2;620
