U,L,E,CD,WA
20,8,14,4.3,8
16.4,6.4,11.4,3.5,6.4
11.5,1.6,6.5,2,1.6
13,3.9,8.5,2.6,3.9
40,12.3,26.2,8,12.3
18,3.3,10.7,3.3,3.3
36.1,16.4,26.2,8,3
23,11.5,17.2,5.3,3
32.8,16.4,24.6,7.5,3
19.7,6.6,13.1,4,2
20,4.5,12.3,3.7,0
20,6.6,13.3,4.1,2
16.4,3,9.7,3,2.5
24.6,13.1,18.9,5.8,0
20.7,14.4,17.6,5.4,14
24,17,20.5,6.2,16.3
41,11.5,26.2,8,5
29.5,16.4,23,7,5
34.4,14.8,24.6,7.5,5
50,10,30,9.1,5
19.7,9.8,14.8,4.5,3.6
19.7,11.5,15.6,4.8,3.3
18,4.9,11.5,3.5,3.6
21.3,14.8,18,5.5,3
16.4,11.5,13.9,4.3,3.3
28,26,27,8.2,15
43,33.5,38.3,11.7,22
18,12,15,4.6,6
16.4,9.8,13.1,4,1.6
26.2,6.6,16.4,5,3
13.1,8.2,10.7,3.3,8
19.7,4.6,12.1,3.7,4.6
13.1,9.8,11.5,3.5,9.8
20,8,14,4.3,8
16.4,9.8,13.1,4,1.6
13.1,9,11.1,3.4,4.3
25,14,19.5,5.9,14
19.7,9.8,14.8,4.5,8
13.1,9.8,11.5,3.5,5.6
10,6,8,2.4,4.3
13.1,6.6,9.8,3,0.9
18,5.9,12,3.7,6
18,6.6,12.3,3.8,2.8
15.1,6,10.6,3.2,5.9
13,5,9,2.7,5
18,9.8,13.9,4.3,6.6
5.9,1,3.5,1.1,1
17.5,9,13.3,4,9
18,9.8,13.9,4.3,6.6
22,9,15.5,4.7,3
21.3,8.2,14.8,4.5,1.1
24.6,13.1,18.9,5.8,0
18,3.3,10.7,3.3,3.3
59.1,9.8,34.4,10.5,4.8
41,8.2,24.6,7.5,1.3
42.7,6.6,24.6,7.5,5.8
29.5,6.6,18,5.5,4.8
18.7,6.6,12.6,3.9,4.9
12.5,3.3,7.9,2.4,5.2
36.7,5.9,21.3,6.5,5.4
16.4,6.6,11.5,3.5,5.7
37.1,7.2,22.1,6.8,2.4
21.3,8.2,14.8,4.5,1.1
22,9,15.5,4.7,3
23,16.4,19.7,6,14.8
18,7.9,13,4,7.9
13,10,11.5,3.5,8.2
18.5,11.5,15,4.6,5
26.2,13.1,19.7,6,13.1
24.6,18.9,21.7,6.6,18.7
27.9,18,23,7,15.4
26.2,16.4,21.3,6.5,16.1
22.3,18,20.2,6.2,9.8
23,16.4,19.7,6,9.8
19,13.1,16.1,4.9,11.5
13,8,10.5,3.2,5.6
23,18,20.5,6.3,9.8
12,5.9,9,2.7,5.9
22,9,15.5,4.7,9
29.5,4.9,17.2,5.3,4.9
8.2,3.3,5.7,1.8,3.3
34.4,13.1,23.8,7.3,7.5
18.4,5.2,11.8,3.6,6.6
21.3,13.1,17.2,5.3,6.6
32,27.1,29.5,9,23.6
23,19.7,21.3,6.5,10.8
22.1,18.9,20.5,6.3,13.7
32.8,24.6,28.7,8.8,11.5
49.2,36.1,42.7,13,11.5
32,12.3,22.1,6.8,4.8
26.2,16.4,21.3,6.5,7.5
22.6,15.3,18.9,5.8,12
19.7,9.8,14.8,4.5,2.5
13.1,9.8,11.5,3.5,7.7
16.4,9.8,13.1,4,5.7
14.8,9.8,12.3,3.8,6.6
32.8,13.1,23,7,5.9
19.7,9.8,14.8,4.5,6.7
19.7,13.1,16.4,5,13.1
32.8,19.7,26.2,8,9.8
19.7,7.4,13.5,4.1,6.6
19.7,13.1,16.4,5,3.8
17.1,13.8,15.4,4.7,7.1
16.4,9.8,13.1,4,5.1
36.1,21.3,28.7,8.8,9.9
12.5,5.9,9.2,2.8,10.4
19.7,13.1,16.4,5,9.7
17.4,10.8,14.1,4.3,9.1
43,6.9,24.9,7.6,7.9
45.9,19.7,32.8,10,9.8
36.1,13.1,24.6,7.5,13.1
62.3,13.1,37.7,11.5,13.1
21.3,9.8,15.6,4.8,0
36.1,29.5,32.8,10,3
20,8,14,4.3,8
32.8,16.4,24.6,7.5,6
42.7,32.8,37.7,11.5,6
29.5,13.1,21.3,6.5,8.2
23,16.4,19.7,6,4
26,10,18,5.5,7
13,3,8,2.4,3
45,22,33.5,10.2,12.5
18,4.9,11.5,3.5,9.4
18,11.5,14.8,4.5,9.8
12,4,8,2.4,4
12,7,9.5,2.9,7
26.2,6.6,16.4,5,3
13.1,8.2,10.7,3.3,8
19.7,4.6,12.1,3.7,4.6
13.1,9.8,11.5,3.5,9.8
20,8,14,4.3,8
13.1,9,11.1,3.4,4.3
25,14,19.5,5.9,14
19.7,9.8,14.8,4.5,8
13.1,9.8,11.5,3.5,5.6
10,6,8,2.4,4.3
13.1,6.6,9.8,3,0.9
18,5.9,12,3.7,6
18,6.6,12.3,3.8,2.8
23,4.6,13.8,4.2,4.6
18,10,14,4.3,10
20,10,15,4.6,8
13.1,6.6,9.8,3,3
29.5,19.7,24.6,7.5,4.3
24.6,14.8,19.7,6,7.1
16.4,5.9,11.2,3.4,5.9
16.1,5.9,11,3.4,5.9
17.5,9,13.3,4,9
9.8,6.6,8.2,2.5,6.6
23,13.1,18,5.5,3.3
52.5,42.7,47.6,14.5,3.3
9.8,6.6,8.2,2.5,6.6
5.9,1,3.5,1.1,1
17,11,14,4.3,1
13,5,9,2.7,5
18,3.3,10.7,3.3,3.3
34.4,26.2,30.3,9.3,3.3
13.1,6.6,9.8,3,5.7
26.2,8.2,17.2,5.3,5.2
24.8,11.6,18.2,5.5,4.8
18,9.8,13.9,4.3,6.6
22,9,15.5,4.7,3
18,9.8,13.9,4.3,6.6
16.4,5.9,11.2,3.4,5.9
15.1,6,10.6,3.2,5.9
16.1,5.9,11,3.4,5.9
17.5,9,13.3,4,9
13,5,9,2.7,5
9.8,6.6,8.2,2.5,6.6
5.9,1,3.5,1.1,1
17,11,14,4.3,1
23,19.7,21.3,6.5,9.8
8.3,5,6.7,2,5.5
18.9,11.5,15.2,4.6,11.5
25.3,7.9,16.6,5.1,6.4
9.8,6.6,8.2,2.5,6.6
21,5.9,13.5,4.1,5.9
32.8,23,27.9,8.5,9.8
24.6,7.9,16.2,5,7.5
45.9,24.6,35.3,10.8,5.2
29.5,22.6,26.1,8,11.5
22.6,11.5,17.1,5.2,11.5
23,16.4,19.7,6,7.7
29.5,19.7,24.6,7.5,14.6
20.7,14.1,17.4,5.3,10.5
17.4,14.1,15.7,4.8,10.2
16.4,13.1,14.8,4.5,8
39.4,29.5,34.4,10.5,25.1
26.2,23,24.6,7.5,20
39.4,16.4,27.9,8.5,9.5
26.2,13.1,19.7,6,6.6
13.1,9.8,11.5,3.5,5.4
26.2,13.1,19.7,6,7.9
19.7,13.1,16.4,5,9.8
13.1,9.8,11.5,3.5,7.1
13.1,9.8,11.5,3.5,3
9.8,6.6,8.2,2.5,3.4
24.6,11.5,18,5.5,8.2
32.8,23,27.9,8.5,4.9
16.4,9.8,13.1,4,3.9
16.4,6.6,11.5,3.5,4.6
29.5,23,26.2,8,6.6
13.1,9.8,11.5,3.5,3.1
16.4,13.1,14.8,4.5,8.5
18,9.8,13.9,4.3,6.7
13.1,9.8,11.5,3.5,9.2
24,14.1,19,5.8,7.5
39.4,16.4,27.9,8.5,16.4
49.2,16.4,32.8,10,16.4
45.9,16.4,31.2,9.5,16.4
